,0,1,2,3,4
dish_1558722171,59.5,1.216,0.038,1.984,0.175
dish_1558031237,3.0,100.0,0.1,8.3,1.0
dish_1563565354,162.0,190.0,7.2912,21.6256,5.898
dish_1563898084,546.0,134.0,20.0,61.0,13.0
dish_1565986702,493.8,14.16,2.7212,5.0726,4.8402
dish_1566920365,800.0,175.0,20.36,80.72,41.0
dish_1562009006,510.0,45.0,23.0,49.0,31.0
dish_1559233715,218.0,136.0,10.95,20.15,4.13
dish_1561578865,13897.34,1391.63,53.08,2279.79,261.37
dish_1562963289,545.0,44.93,13.7,71.264,22.948
dish_1568305225,349.4,56.9,18.458,23.496,10.896
dish_1561663541,240.0,20.0,0.3,45.76,3.32
dish_1566851704,466.2,329.1,15.4,57.4,37.1
dish_1563478751,512.6628,267.6614,17.7354,36.336,25.668
dish_1564675411,422.0,22.0,6.25,37.0,8.712
dish_1566589933,120.0,40.0,7.8,10.8,3.2
dish_1567785739,497.0,277.0,21.16,57.639,9.781
dish_1563551134,204.0,139.0,11.8,16.6,8.67
dish_1562703345,640.0,45.0,24.76,55.76,24.874
dish_1563897938,70.51,100.0,0.08,17.3,1.85
dish_1560367980,409.0,99.0,18.2,24.4,31.4
dish_1558031351,59.0,100.0,0.53,12.2,0.77
dish_1558546434,96.0,223.0,0.231,6.132,10.198
dish_1566316726,276.0,16.67,0.0,0.0,40.0
dish_1559849097,397.0,195.0,9.1425,52.2065,13.0475
dish_1566316757,362.768,337.373,9.267,44.33,16.786
dish_1568305257,408.1,152.0,25.8,30.8,16.3
dish_1561574783,46.0,27.0,0.763,2.847,3.69
dish_1558639482,43.0,33.0,0.507,9.52,0.646
dish_1565711570,437.8,47.6,3.4,5.65,10.6
dish_1562168673,270.0,146.0,1.2,35.4,8.4
dish_1565035802,79.6,52.6,0.52,12.72,2.22
dish_1561574479,0.0,0.0,0.0,0.0,0.0
dish_1564160043,216.0,28.0,1.0,28.0,7.2
dish_1562774129,352.0,130.0,4.5,8.216,6.642
dish_1558375732,0.0,0.0,0.0,0.0,0.0
dish_1565034681,260.0,240.0,12.78,0.0,31.0
dish_1565117429,293.5,18.5,14.0,23.7,8.3
dish_1563565508,4044.0,355.0,6.85,407.6737,25.9964
dish_1566414342,805.0,400.0,31.05,85.315,49.8
dish_1558110478,381.0,190.0,2.5,22.36,6.39
dish_1557936555,252.0,100.0,11.0,30.0,10.0
dish_1563566939,417.581,201.0,31.796,25.079,17.47
dish_1558114284,207.0,51.0,0.43,47.836,1.461
dish_1560444914,421.0,133.0,4.6,57.1,7.06
