id,calories,mass,fat,carb,protein,img_indx,original_calories,original_mass,original_fat,original_carb,original_protein
dish_1562699612,4.59906424259876,4.31748811353631,1.3006781921928625,2.813127196571986,1.3332519062637747,dish_1562699612.jpeg,98.391266,74.0,2.671786,15.661942,2.793359
dish_1558722322,3.6563562882348224,4.532599493153256,0.16889853646181394,2.322387720290225,0.6032224730319582,dish_1558722322.jpeg,37.720001,92.0,0.184,9.2,0.828
dish_1561406762,2.9017194068749745,3.58351893845611,0.346486921839238,1.4934446242238435,0.27076503284003817,dish_1561406762.jpeg,17.205421,35.0,0.414091,3.452406,0.310967
dish_1562007739,3.3877743613300146,4.189654742026425,0.8607780219438963,1.3336844108475931,1.1249295969854831,dish_1562007739.jpeg,28.6,65.0,1.365,2.795,2.08
dish_1562689548,5.382382783037405,5.5909869805108565,2.143940999554448,2.949792989262005,3.0204248861443626,dish_1562689548.jpeg,216.540009,267.0,7.533,18.101999,19.5
dish_1566415591,5.374262971006506,5.75890177387728,2.885175391249341,2.9684633325778584,2.8816948891791174,dish_1566415591.jpeg,214.780777,316.0,16.906708,18.46199,16.844492
dish_1568044528,4.986775629341832,5.455321115357702,1.3964619950936985,3.406620118677481,1.0402593970176164,dish_1568044528.jpeg,145.463409,233.0,3.040878,29.163124,1.829951
dish_1564515049,6.069896272461426,6.416732282512326,3.3238047954238326,3.926557289145017,3.561739109450916,dish_1564515049.jpeg,431.635803,611.0,26.765793,49.732021,34.224403
dish_1562862493,5.294911608532609,4.90527477843843,2.756205242989257,1.1454958745669601,2.667228276026397,dish_1562862493.jpeg,198.320007,134.0,14.74,2.144,13.400001
dish_1563563317,5.848869287176784,5.53338948872752,3.165517325728388,2.231303890989082,3.383813826051275,dish_1563563317.jpeg,345.84198,252.0,22.701002,8.312,28.483
dish_1559060055,3.3225148956897126,4.406719247264253,0.21752781252857406,2.012232791986386,0.44916296337388373,dish_1559060055.jpeg,26.730001,81.0,0.243,6.48,0.567
dish_1566846997,5.842702485895193,5.1298987149230735,3.071578063398893,1.757440934075122,3.5239099361402135,dish_1566846997.jpeg,343.709656,168.0,20.575924,4.797582,32.916782
dish_1561739623,5.057773332352183,5.855071922202427,0.7207623475929187,3.543853624260209,2.1012030334613487,dish_1561739623.jpeg,156.240005,348.0,1.056,33.599998,7.176
dish_1561576652,4.526391099608782,5.777652323222656,1.3139174667092286,2.7800468412002974,1.6412489338065586,dish_1561576652.jpeg,91.424408,322.0,2.720721,15.119776,4.161612
dish_1565194906,6.11544052463047,6.733401891837359,1.8251491121230135,4.054348910214586,3.7612029528988398,dish_1565194906.jpeg,451.795471,839.0,5.20372,56.647617,42.000122
dish_1558109986,5.558564052065434,4.330733340286331,3.066889467870319,1.423108334242607,2.73922581857066,dish_1558109986.jpeg,258.450012,75.0,20.475,3.15,14.475
dish_1559332487,3.0012172535110637,4.59511985013459,0.36533731701738503,1.5731887797589794,0.6059539688575679,dish_1559332487.jpeg,19.110001,98.0,0.441,3.822,0.833
dish_1559581333,6.032958508607848,5.459585514144159,3.4634008035763917,1.67714347569525,3.36582088071442,dish_1559581333.jpeg,415.946747,234.0,30.925364,4.350251,27.957258
dish_1557863104,3.8501476017100584,3.713572066704308,1.66392609771817,1.2584609896100059,0.2776317365982795,dish_1557863104.jpeg,46.0,40.0,4.28,2.52,0.32
dish_1562945393,5.769533906794738,5.996452088619021,2.4550427976901457,3.478919521977698,3.246614797466521,dish_1562945393.jpeg,319.388367,401.0,10.646932,31.424669,24.703182
dish_1565036953,6.376632899258505,6.095824562432225,3.3072471134254577,3.867212421215799,3.7244655411628806,dish_1565036953.jpeg,586.944702,443.0,26.309841,46.808929,40.449074
dish_1561665422,6.349827320860263,5.955837369464831,2.830490168990171,3.2356110859362452,4.40120317140842,dish_1561665422.jpeg,571.39386,385.0,15.953769,24.421902,80.548927
dish_1561737293,6.688133046790126,6.456769655572163,3.8517845590363824,4.040046670831,3.7595010451834305,dish_1561737293.jpeg,801.822021,636.0,46.077,55.828995,41.927002
dish_1563823359,6.465678545608798,5.8111409929767,3.538446430232249,2.529740426338723,4.296636229562821,dish_1563823359.jpeg,641.700317,333.0,33.413414,11.550248,72.452301
dish_1561577731,5.617707826072223,5.814130531825066,2.657180185540589,2.6658091446340944,3.307218002616222,dish_1561577731.jpeg,274.257721,334.0,13.256033,13.37958,26.309046
dish_1556575124,1.7011051009599243,3.367295829986474,0.054488185284069734,0.6688544879909007,0.17898265552844,dish_1556575124.jpeg,4.48,28.0,0.056,0.952,0.196
dish_1563220087,5.098279834484518,4.59511985013459,2.0047179954838996,3.0378334016339865,2.121542717698471,dish_1563220087.jpeg,162.740005,98.0,6.424,19.859999,7.344
dish_1564170283,6.47325490014089,5.71042701737487,3.5159403045588213,3.495971690640625,4.036285183811907,dish_1564170283.jpeg,646.588135,301.0,32.647552,31.982321,55.615635
dish_1562860073,5.882792994902325,5.560681631015528,3.1218361503497167,3.0891315378125404,3.0446176236692875,dish_1562860073.jpeg,357.809998,259.0,21.688,20.958,20.001999
dish_1562180157,6.917880542058524,6.324358962381311,4.292693614755717,3.2755192238885593,4.171886345188871,dish_1562180157.jpeg,1009.176697,557.0,72.163277,25.456959,63.837643
dish_1567023296,4.683807793123901,4.532599493153256,2.3361347560975383,1.643157367531206,1.3040137762660893,dish_1567023296.jpeg,107.181221,92.0,9.341188,4.171472,2.684054
dish_1562097624,4.364193833745223,4.23410650459726,1.197153606355927,2.6107834350975385,1.3278214071799832,dish_1562097624.jpeg,77.586021,68.0,2.31068,12.609709,2.772815
dish_1561666794,4.935171531478993,4.584967478670572,1.820670812722475,2.87508895744277,2.020752545331156,dish_1561666794.jpeg,138.097,97.0,5.176,16.727001,6.544
dish_1562687554,6.016972912247604,5.641907070938114,3.2087367982130997,3.763621739334296,2.3030976616083065,dish_1562687554.jpeg,409.334595,281.0,23.747805,42.104256,9.005127
dish_1567625343,4.196901195673545,4.31748811353631,1.7899244532823253,1.8790069294589542,0.9973175705165285,dish_1567625343.jpeg,65.480003,74.0,4.989,5.547,1.711
dish_1558460061,3.730740884233788,4.0943445622221,0.11154137473290741,2.452727837482281,0.3457151037023904,dish_1558460061.jpeg,40.709999,59.0,0.118,10.620001,0.413
dish_1558723671,3.6668894617781604,4.543294782270004,0.1705863005755337,2.33214389523559,0.6081338062329886,dish_1558723671.jpeg,38.130001,93.0,0.186,9.3,0.837
dish_1564086658,5.567783266144054,5.442417710521793,2.267268747866478,3.681653459384806,2.5012720858549136,dish_1564086658.jpeg,260.852997,230.0,8.653,38.712002,11.198001
dish_1562008842,5.877062459911243,5.68697535633982,3.2197681466306936,2.9214619112926323,3.0228150518114947,dish_1562008842.jpeg,355.759705,294.0,24.022318,17.568413,19.549057
dish_1561494032,5.228097944941649,5.730099782973575,2.7158620754691327,2.603219322939458,1.8178189521035133,dish_1561494032.jpeg,185.437851,307.0,14.117637,12.507152,5.158412
dish_1562170356,5.95670223888075,6.07073772800249,2.726871955342798,4.034771452997477,2.6237986486546188,dish_1562170356.jpeg,385.333984,432.0,14.285,55.529999,12.788
dish_1563309315,6.420282964836488,6.137727054086234,3.0413691857314213,2.6550425960181414,4.532233297079399,dish_1563309315.jpeg,613.17688,462.0,19.933886,13.225592,91.96595
dish_1565812186,5.786831195127367,5.58724865840025,2.8217717854047693,2.58893996009832,3.5211690723167304,dish_1565812186.jpeg,324.978424,266.0,15.806602,12.315649,32.823948
dish_1561654756,5.552882105175954,5.420534999272286,2.769584275907545,2.791165107812717,2.785998470817186,dish_1561654756.jpeg,256.980011,225.0,14.952001,15.3,15.216001
dish_1568660810,4.894401006010971,3.8712010109078907,1.8931119634883424,2.7750856024383683,1.8931119634883424,dish_1568660810.jpeg,132.539993,47.0,5.64,15.04,5.64
dish_1560976044,4.833659471371144,4.927253685157205,0.521765563804325,3.3020030014420825,1.9101349219633759,dish_1560976044.jpeg,124.670006,137.0,0.685,26.167,5.754
dish_1558115282,4.329153105530703,4.976733742420574,0.25309062768216184,0.35907206853845386,3.052112606990099,dish_1558115282.jpeg,74.879997,144.0,0.288,0.432,20.16
dish_1563302345,5.586707081062103,5.375278407684165,2.1479546147485995,1.8071198915842919,3.7842162472004883,dish_1563302345.jpeg,265.855438,215.0,7.567317,5.092874,43.001171
dish_1565711154,6.046467713402929,5.955837369464831,3.033758042276235,2.72376264492548,3.7652384622126855,dish_1565711154.jpeg,421.617584,385.0,19.77516,14.237548,42.174
dish_1558379712,6.535152770726071,4.787491742782046,4.092759957398765,3.3326686881422267,3.3198427026193236,dish_1558379712.jpeg,687.939026,119.0,58.904999,27.013,26.656
dish_1565724235,5.549965922335463,5.3471075307174685,2.2496881977361567,2.2102693453992486,3.616760997714465,dish_1565724235.jpeg,256.22879,209.0,8.484778,8.118172,36.216827
dish_1559846334,4.845540540205452,5.455321115357702,0.2844267797311083,3.5202240880837965,0.944683806375373,dish_1559846334.jpeg,126.172005,233.0,0.329,32.792,1.572
dish_1561665747,6.188871909595508,5.752572638825633,2.875409998004986,4.235354739720306,3.041392831324396,dish_1561665747.jpeg,486.296082,314.0,16.732693,68.086182,19.934381
dish_1564518586,5.89278510495852,5.755742213586912,2.8992636079640652,3.5192445305857074,3.0427728604863127,dish_1564518586.jpeg,361.413239,315.0,17.160767,32.758915,19.963291
dish_1559244305,4.736780726206283,4.174387269895637,2.0850768832733353,2.38258198423341,1.5003662969335063,dish_1559244305.jpeg,113.066399,64.0,7.04521,9.832837,3.483331
dish_1558379588,4.322276643537746,4.969813299576001,0.25153662581542763,0.3569748989477303,3.045474365448805,dish_1558379588.jpeg,74.360001,143.0,0.286,0.429,20.02
dish_1558723894,6.631491734302284,6.0063531596017325,3.942571589518647,4.23847379466747,3.307326239279967,dish_1558723894.jpeg,757.612976,405.0,50.550999,68.302002,26.312002
dish_1564675157,5.346768363683022,5.652489180268651,1.6434197342213834,3.770578650590488,1.2103718864580433,dish_1564675157.jpeg,208.928787,284.0,4.172829,42.405174,2.354732
dish_1565032680,5.639356903583976,5.342334251964811,3.118654304149498,3.058937703395075,1.6310438148127968,dish_1565032680.jpeg,280.281769,208.0,21.615925,20.304913,4.109205
dish_1558640781,4.3954362475828095,5.043425116919247,0.26849925303500694,3.116178382303616,0.3798053613275868,dish_1558640781.jpeg,80.079994,154.0,0.308,21.559999,0.462
dish_1563555605,6.2893630004145304,6.0014148779611505,3.4772629602629572,3.7043098410036976,3.250529557423676,dish_1563555605.jpeg,537.809998,403.0,31.371,39.622002,24.804001
dish_1566501447,5.662126834138549,5.857933154483459,1.6094379124341003,2.662006332408829,3.8926362304534026,dish_1566501447.jpeg,286.76001,349.0,4.0,13.325001,48.039997
dish_1560369403,6.0233696335058085,6.0063531596017325,3.4653155332068084,3.398961383680843,3.790078713742831,dish_1560369403.jpeg,411.967804,405.0,30.986551,28.932995,43.259884
dish_1565898659,6.359062542465681,6.2878585601617845,2.521618047368901,2.839795750056749,4.5874483884632475,dish_1565898659.jpeg,576.704529,537.0,11.448723,16.11227,97.243431
dish_1562774346,6.0489110133457435,5.579729825986222,3.4906027075348387,1.6460178340725191,3.3770998544733386,dish_1562774346.jpeg,422.651428,264.0,31.805714,4.186286,28.285715
dish_1559590130,5.275079399322906,5.030437921392435,1.6306121476655069,0.9246556482057827,3.6078862949044046,dish_1559590130.jpeg,194.405991,152.0,4.107,1.521,35.888
dish_1559700851,4.128583109330664,4.007333185232471,1.920919906463241,1.0636960844755856,0.76623359538733,dish_1559700851.jpeg,61.089886,54.0,5.827236,1.897059,1.151647
dish_1566499633,5.089978858964869,4.941642422609304,2.720209575369855,2.243524341444798,1.392267486435352,dish_1566499633.jpeg,161.386429,139.0,14.183504,8.426495,3.023964
dish_1558379391,6.4053310527678216,5.4116460518550396,3.848870169119085,3.3966536746420153,3.297206335260507,dish_1558379391.jpeg,604.062073,223.0,45.939999,28.863998,26.037001
dish_1558637247,4.777197235707036,4.718498871295094,1.2985554468118838,3.2355362657613083,1.4908795763099651,dish_1558637247.jpeg,117.770996,111.0,2.664,24.42,3.441
dish_1563910276,5.932095017021803,5.488937726156687,2.8159685626812236,2.490618555749425,3.798909445779959,dish_1563910276.jpeg,375.94339,241.0,15.709352,11.068739,43.652462
dish_1559242221,6.492291344299906,4.74493212836325,4.0505668148762055,3.2913081081248725,3.2785023393294055,dish_1559242221.jpeg,659.033997,114.0,56.43,25.878,25.536001
dish_1566587958,5.990203452262037,5.41610040220442,3.0548413475077174,2.2842900547142486,3.7518147219775413,dish_1566587958.jpeg,398.49588,224.0,20.217819,8.818713,41.598316
dish_1558639907,2.4371160733642356,4.07753744390572,0.1097508639591192,1.1823405041988222,0.4200252594394941,dish_1558639907.jpeg,10.440001,58.0,0.116,2.262,0.522
dish_1558632475,4.786090770211434,4.727387818712341,1.3050843056943475,3.2441535930509087,1.497835735852798,dish_1558632475.jpeg,118.832001,112.0,2.688,24.639999,3.472
dish_1561578570,4.925838590179528,4.189654742026425,2.180843469959206,1.0746993054211202,2.6587744490540652,dish_1561578570.jpeg,136.804855,65.0,7.853771,1.929112,13.278779
dish_1562872150,2.1377104498038118,3.5553480614894135,0.09712671073072274,0.7523590401917915,0.7197891115063665,dish_1562872150.jpeg,7.48,34.0,0.102,1.122,1.054
dish_1566419635,6.408317407928884,5.966146739123692,3.153372870814677,3.946538821738005,3.9202243820094567,dish_1566419635.jpeg,605.871704,389.0,22.414907,50.75592,49.411755
dish_1558723639,2.4203681286504293,3.7376696182833684,0.11600367575630613,1.11514159061932,0.5527350268432003,dish_1558723639.jpeg,10.25,41.0,0.123,2.05,0.738
dish_1566501067,6.142291095985871,5.726847747587197,3.2312390443430843,2.58316701895552,3.9243269801288823,dish_1566501067.jpeg,464.117981,306.0,24.310999,12.239,49.618999
dish_1565022062,5.462163392813223,5.905361848054571,1.34706536793233,3.4627275384560483,3.0091937104815383,dish_1565022062.jpeg,234.606583,366.0,2.846122,30.903877,19.271049
dish_1560543755,5.5565381625399795,5.579729825986222,2.2913020785124036,3.3448123745484595,2.9125954716037854,dish_1560543755.jpeg,257.924927,264.0,8.887804,27.355255,17.404505
dish_1558382263,5.879498859697181,6.054439346269371,3.023444712120527,3.196793760828892,3.3494478779638026,dish_1558382263.jpeg,356.629974,425.0,19.562,23.453999,27.487001
dish_1562085185,6.312659989027479,5.429345628954441,3.6980869100939797,3.395514598526657,3.097747153809916,dish_1562085185.jpeg,550.51001,227.0,39.369999,28.83,21.147999
dish_1561405912,5.605367655776939,5.2832037287379885,2.4993233939907644,2.9474092477584373,3.2244660106233605,dish_1561405912.jpeg,270.881866,196.0,11.174254,18.056519,24.140146
dish_1559244649,6.8109811798706295,6.1224928095143865,3.7200190935523088,3.9644040100443867,4.434086269722404,dish_1559244649.jpeg,906.761047,455.0,40.265182,51.688858,83.275085
dish_1566587689,5.287493853081866,5.602118820879701,2.1371611244239466,2.7962719841436767,2.974513488980277,dish_1566587689.jpeg,196.84697,270.0,7.475343,15.383455,18.580095
dish_1559846528,5.7798975191491735,5.5909869805108565,2.8991663055776598,3.7259343138837853,2.321210557117211,dish_1559846528.jpeg,322.726013,267.0,17.159,40.509998,9.188
dish_1561752449,5.66590701677449,4.90527477843843,2.7430392812044206,2.723790929916255,3.24878870034075,dish_1561752449.jpeg,287.849854,134.0,14.534126,14.237979,24.759119
dish_1563984701,5.621125284421969,5.153291594497779,2.901421649027803,1.8180767775454285,3.22207071576472,dish_1563984701.jpeg,275.200012,172.0,17.200001,5.16,24.08
dish_1560443565,5.567122356479899,6.16541785423142,0.6815805441884798,4.203647297112551,1.3790179521491144,dish_1560443565.jpeg,260.679993,475.0,0.977,65.93,2.971
dish_1558381665,2.93651291389402,3.9512437185814275,0.1856493468866293,1.5195132049061133,0.7993073763883359,dish_1558381665.jpeg,17.85,51.0,0.204,3.57,1.224
dish_1560543557,4.487174571488427,5.2574953720277815,1.5939181007760634,2.5365499620788037,1.4708652625701606,dish_1560543557.jpeg,87.869995,191.0,3.923,11.636001,3.353
dish_1560367193,4.883119766008193,5.762051382780177,2.01338400074898,2.827764289593868,2.572969799859244,dish_1560367193.jpeg,131.041962,317.0,6.488616,15.907618,12.104685
dish_1562184604,5.358377146518405,4.3694478524670215,2.761274962339508,0.0,3.0204248861443626,dish_1562184604.jpeg,211.380005,78.0,14.82,0.0,19.5
dish_1562686520,5.850707051834449,5.424950017481403,3.2132601263078255,1.7944225866475387,3.3178157727231046,dish_1562686520.jpeg,346.47998,226.0,23.860001,5.016,26.6
dish_1559593794,6.112711425616948,5.942799375126701,3.27901125410828,2.715055010043037,3.722763307299667,dish_1559593794.jpeg,450.561432,380.0,25.549509,14.105441,40.378578
dish_1568056046,4.489534864840896,5.247024072160486,1.5462850974288318,2.7027696166582844,1.0141431320416596,dish_1568056046.jpeg,88.080002,189.0,3.694,13.921,1.757
dish_1567542876,6.2082031081952005,5.564520407322694,3.091178125972552,3.84391620554949,3.418379093698437,dish_1567542876.jpeg,495.807739,260.0,21.002985,45.708035,29.519905
dish_1564170010,7.143260777596217,6.723832440821209,4.141448782176415,4.065463816215129,4.769519301672933,dish_1564170010.jpeg,1264.54834,831.0,61.893875,57.291939,116.862572
dish_1565641943,6.238108951392994,5.730099782973575,2.8156717387223162,3.842375090875894,3.8268634037528977,dish_1565641943.jpeg,510.889587,307.0,15.704393,45.636108,44.918285
dish_1563207364,5.737442850695821,5.605802066295998,2.692868879106546,3.4549592931722546,2.773213527008623,dish_1563207364.jpeg,309.269989,271.0,13.774,30.657,15.01
dish_1558640294,3.7704594871893073,5.220355825078325,0.3133498192003587,2.356504934983476,0.9547419182484078,dish_1558640294.jpeg,42.400002,184.0,0.368,9.554,1.598
dish_1565031283,5.536075467188354,4.762173934797756,2.7335603005973024,1.707240438307486,3.215579999597979,dish_1565031283.jpeg,252.680466,116.0,14.387574,4.513725,23.91774
dish_1561576680,5.732895957693141,6.1224928095143865,2.3950253402971526,2.959138774250136,3.6432060490507765,dish_1561576680.jpeg,307.862427,455.0,9.968476,18.281359,37.214157
dish_1562704528,5.009995035841342,4.04305126783455,1.834818958688502,2.983659692319722,1.9840313568751777,dish_1562704528.jpeg,148.903992,56.0,5.264,18.76,6.272
dish_1561134156,4.783651051761509,5.3981627015177525,0.29416103854949005,3.393702733483989,0.9917691930500605,dish_1561134156.jpeg,118.540001,220.0,0.342,28.776001,1.696
dish_1562086702,5.190342319312638,3.5263605246161616,2.698673039289613,0.3798053613275868,2.580974118534234,dish_1562086702.jpeg,178.529999,33.0,13.86,0.462,12.21
dish_1559062051,4.047252919747649,4.31748811353631,0.0,2.661657231364899,0.5538851132264376,dish_1559062051.jpeg,56.239998,74.0,0.0,13.320001,0.74
dish_1562613340,5.859044162799382,5.247024072160486,3.1812227207735475,2.712111011506385,3.1653095914159017,dish_1562613340.jpeg,349.389069,189.0,23.076174,14.061036,22.696079
dish_1563305321,3.5244791088040364,4.219507705176107,0.5837167272638468,2.0293174319504996,0.4670492694192991,dish_1563305321.jpeg,32.936092,67.0,0.792689,6.608891,0.59528
dish_1561060787,3.8599893949690007,4.5217885770490405,0.7721002178352001,2.2049116228176153,1.3979177965032616,dish_1561060787.jpeg,46.464848,91.0,1.164307,8.06945,3.046765
dish_1568061202,5.551220107791827,5.814130531825066,2.1599246139171253,3.6926652290165523,2.3456821296423085,dish_1568061202.jpeg,256.551605,334.0,7.670484,39.151718,9.440392
dish_1559158354,3.091042453358316,4.110873864173311,0.2151113796169455,1.6486586255873816,0.8919980393051105,dish_1559158354.jpeg,21.0,60.0,0.24,4.2,1.44
dish_1565107211,6.2627021041390725,6.684611727667927,2.676081125818237,3.9128617335973184,3.886032561018278,dish_1565107211.jpeg,523.634644,799.0,13.528048,49.041954,47.71722
dish_1563393217,3.9166125174872155,5.43372200355424,0.38367406522335545,2.379793140658587,1.35213424153565,dish_1563393217.jpeg,49.230003,228.0,0.467667,9.802668,2.865667
dish_1567022180,3.909219098151569,5.093750200806762,0.28065745751481647,2.4969998974753835,1.1157971134222107,dish_1567022180.jpeg,48.860001,162.0,0.324,11.146,2.052
dish_1563220109,5.224326106044783,5.1647859739235145,2.128064906224698,3.1531184705885305,2.199302749772569,dish_1563220109.jpeg,184.735962,174.0,7.398599,22.408951,8.018723
dish_1560887408,5.78542396513359,4.812184355372417,2.552097977246351,3.719893556116202,2.668616131856803,dish_1560887408.jpeg,324.52002,122.0,11.834001,40.260002,13.42
dish_1559845767,5.469038607428499,5.929589143389895,0.3927175352856617,4.077740762218201,1.5364370195496102,dish_1559845767.jpeg,236.23201,375.0,0.481,58.011997,3.648
dish_1558380464,5.6293749956034835,3.8918202981106265,3.209229447816395,2.476202209157854,2.464023523963472,dish_1558380464.jpeg,277.488007,48.0,23.76,10.896,10.752001
dish_1564516366,3.4672971521654303,3.332204510175204,1.3581520551736102,0.9936220748104785,0.19556678354397528,dish_1564516366.jpeg,31.049999,27.0,2.889,1.701,0.216
dish_1558723096,2.8622008809294686,4.204692619390966,0.1806534996932576,1.4586150226995167,0.7829878845597348,dish_1558723096.jpeg,16.5,66.0,0.198,3.3,1.188
dish_1562183151,4.694941445163482,5.278114659230518,2.072545820751895,2.369966787231726,1.7760112815720708,dish_1562183151.jpeg,108.392403,195.0,6.945024,9.697037,4.906251
dish_1565987015,2.7549337870010606,4.174387269895637,0.22793206804600694,1.1951338556587316,1.0494220444773381,dish_1565987015.jpeg,14.72,64.0,0.256,2.304,1.856
